#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
68,Justin Champagnie,WAS,10,18.9,6.2,2.1,5.3,0.396,0.9,2.9,0.31,1.1,1.4,0.786,1.7,3.8,5.5,1.0,0.8,0.9,0.9,1.1
69,Mohamed Bamba,NOP,10,13.2,6.3,2.3,4.0,0.575,0.9,2.0,0.45,0.8,1.2,0.667,1.2,4.3,5.5,0.4,0.1,0.9,0.9,1.5
70,Nicolas Batum,LAC,10,23.0,6.5,2.1,4.3,0.488,1.9,4.0,0.475,0.4,0.4,1.0,0.4,2.0,2.4,0.7,1.0,0.9,0.5,1.3
71,Zion Williamson,NOP,10,29.1,25.2,10.4,17.0,0.612,0.1,0.2,0.5,4.3,6.6,0.652,2.5,4.8,7.3,6.0,1.3,0.8,2.7,2.2
72,Jalen Williams,OKC,10,32.6,22.8,7.8,16.4,0.476,2.6,5.9,0.441,4.6,5.4,0.852,0.8,4.6,5.4,6.3,1.3,0.8,2.0,2.2
73,OG Anunoby,NYK,10,38.9,18.0,6.2,15.0,0.413,2.8,7.7,0.364,2.8,3.5,0.8,1.6,3.6,5.2,2.9,1.4,0.8,1.6,2.1
74,Paul George,PHL,10,34.1,14.2,5.4,12.1,0.446,2.0,6.2,0.323,1.4,1.8,0.778,0.4,4.5,4.9,3.5,2.1,0.8,2.3,2.3
75,Brandon Clarke,MEM,10,19.9,9.9,4.3,6.9,0.623,0.0,0.1,0.0,1.3,1.8,0.722,2.5,3.5,6.0,1.4,0.7,0.8,0.6,2.1
76,Ausar Thompson,DET,10,23.9,10.3,4.6,8.0,0.575,0.0,0.2,0.0,1.1,1.8,0.611,2.2,2.6,4.8,2.4,2.4,0.8,1.5,3.1
77,Jusuf Nurkic,CHA,10,17.2,6.8,2.6,5.7,0.456,0.2,1.9,0.105,1.4,2.2,0.636,2.0,5.5,7.5,3.0,1.0,0.8,1.4,2.0
78,Clint Capela,ATL,10,16.7,6.4,2.9,6.0,0.483,0.0,0.1,0.0,0.6,1.2,0.5,2.7,3.7,6.4,0.8,0.7,0.8,0.3,1.6
79,Precious Achiuwa,NYK,10,22.6,7.3,3.3,6.7,0.493,0.1,0.7,0.143,0.6,0.9,0.667,1.7,4.0,5.7,0.9,0.4,0.8,0.5,1.3
80,Jericho Sims,MIL,10,15.1,3.0,1.5,2.1,0.714,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.5,5.0,0.8,0.2,0.8,1.1,1.3
81,Duop Reath,POR,10,14.5,5.2,1.9,4.8,0.396,1.0,3.7,0.27,0.4,0.4,1.0,0.8,1.9,2.7,1.0,0.8,0.8,0.6,0.7
82,Jonathan Mogbo,TOR,10,21.8,5.4,2.1,5.4,0.389,0.2,1.7,0.118,1.0,1.5,0.667,1.0,3.0,4.0,1.8,1.0,0.8,1.3,2.7
83,Dominick Barlow,ATL,10,11.2,5.0,2.0,3.9,0.513,0.3,1.0,0.3,0.7,1.0,0.7,0.8,1.6,2.4,0.3,0.3,0.8,0.2,0.9
84,Nikola Jokic,DEN,10,38.7,25.1,9.9,17.0,0.582,1.1,3.7,0.297,4.2,5.7,0.737,2.4,11.8,14.2,11.2,1.5,0.7,4.1,2.8
85,Giannis Antetokounmpo,MIL,10,30.9,26.9,10.5,18.0,0.583,0.2,0.9,0.222,5.7,8.4,0.679,2.7,9.7,12.4,6.0,0.9,0.7,2.7,2.5
