#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
151,Ivica Zubac,LAC,10,37.0,20.2,9.3,14.2,0.655,0.0,0.0,0.0,1.6,2.8,0.571,3.5,9.0,12.5,2.8,0.4,1.3,1.3,3.3
152,Bobby Portis,MIL,10,25.7,14.1,5.6,12.6,0.444,1.1,3.5,0.314,1.8,2.0,0.9,2.1,7.6,9.7,2.8,0.3,0.6,1.2,2.3
153,Royce O'Neale,PHX,10,22.6,7.4,2.5,5.7,0.439,2.3,5.0,0.46,0.1,0.2,0.5,0.7,3.0,3.7,2.8,1.0,0.3,0.5,1.3
154,Eric Gordon,PHL,10,24.3,9.1,3.0,6.2,0.484,2.2,4.3,0.512,0.9,1.3,0.692,0.2,1.1,1.3,2.8,0.7,0.4,0.7,0.8
155,Kyle Filipowski,UTA,10,24.4,15.7,5.7,10.9,0.523,2.1,4.4,0.477,2.2,3.4,0.647,2.2,6.0,8.2,2.7,0.7,0.3,2.0,3.0
156,Klay Thompson,DAL,10,29.5,17.7,6.1,14.4,0.424,3.6,8.5,0.424,1.9,2.1,0.905,0.9,2.7,3.6,2.7,0.6,0.5,1.2,1.0
157,Ty Jerome,CLE,10,21.9,14.7,4.8,10.5,0.457,1.9,3.9,0.487,3.2,3.5,0.914,0.8,2.6,3.4,2.7,1.5,0.0,1.4,1.8
158,Toumani Camara,POR,10,34.9,11.5,4.2,9.8,0.429,1.5,4.6,0.326,1.6,2.3,0.696,2.3,3.0,5.3,2.7,1.5,0.6,1.4,3.4
159,Duncan Robinson,MIA,10,27.5,14.4,5.2,10.7,0.486,3.4,7.8,0.436,0.6,0.7,0.857,0.2,2.3,2.5,2.7,0.6,0.0,1.5,1.2
160,Nickeil Alexander-Walker,MIN,10,28.4,11.3,3.8,8.6,0.442,2.0,5.0,0.4,1.7,2.2,0.773,0.4,2.3,2.7,2.7,1.1,0.7,0.8,1.3
161,Jared McCain,PHL,10,31.6,15.4,5.5,12.5,0.44,2.2,6.2,0.355,2.2,2.9,0.759,0.7,2.1,2.8,2.7,0.8,0.0,2.4,1.9
162,Grayson Allen,PHX,10,24.3,9.4,2.9,6.3,0.46,2.0,4.5,0.444,1.6,2.2,0.727,0.2,1.8,2.0,2.7,0.5,0.6,1.3,2.1
163,Onyeka Okongwu,ATL,10,31.1,14.9,6.1,10.7,0.57,0.8,1.8,0.444,1.9,2.6,0.731,4.2,6.2,10.4,2.6,0.9,1.0,1.2,2.6
164,Terance Mann,ATL,10,24.0,10.9,4.3,7.6,0.566,1.4,3.5,0.4,0.9,1.6,0.563,1.5,1.9,3.4,2.6,0.3,0.3,1.0,2.1
165,Caleb Martin,DAL,10,26.6,6.7,2.7,6.0,0.45,0.6,2.0,0.3,0.7,1.4,0.5,1.0,2.7,3.7,2.6,1.3,0.9,0.8,1.9
166,"Nick Smith, Jr.",CHA,10,29.5,10.2,4.0,11.6,0.345,1.6,6.6,0.242,0.6,0.6,1.0,0.3,1.9,2.2,2.6,0.2,0.1,1.6,2.0
167,Alex Sarr,WAS,10,26.1,12.0,4.4,12.9,0.341,1.5,5.0,0.3,1.7,3.0,0.567,1.6,4.9,6.5,2.5,0.6,1.2,1.2,1.6
168,Keon Johnson,BRK,10,26.7,9.6,3.2,8.5,0.376,1.5,4.4,0.341,1.7,2.3,0.739,1.3,3.1,4.4,2.5,1.7,0.5,1.7,2.7
169,Rudy Gobert,MIN,10,32.7,14.8,5.9,8.6,0.686,0.0,0.0,0.0,3.0,4.3,0.698,4.8,6.6,11.4,2.4,0.9,1.7,1.3,2.2
170,Jalen Duren,DET,10,26.4,13.3,5.2,7.4,0.703,0.0,0.0,0.0,2.9,4.3,0.674,2.8,7.9,10.7,2.4,1.2,1.3,1.6,3.6
171,Caris LeVert,ATL,10,28.6,17.0,6.7,13.2,0.508,2.1,5.9,0.356,1.5,2.0,0.75,0.4,2.5,2.9,2.4,1.2,0.4,1.0,1.5
172,Ausar Thompson,DET,10,23.9,10.3,4.6,8.0,0.575,0.0,0.2,0.0,1.1,1.8,0.611,2.2,2.6,4.8,2.4,2.4,0.8,1.5,3.1
173,Vit Krejci,ATL,10,23.2,9.2,3.2,6.3,0.508,2.1,4.8,0.438,0.7,1.2,0.583,0.3,3.3,3.6,2.4,0.6,0.5,1.1,2.3
174,Lonzo Ball,CHI,10,25.9,10.2,3.3,8.9,0.371,2.3,6.4,0.359,1.3,1.5,0.867,1.2,2.2,3.4,2.4,0.7,0.4,1.1,1.5
175,Dante Exum,DAL,10,19.9,8.0,2.8,6.7,0.418,1.3,3.0,0.433,1.1,1.2,0.917,0.2,1.6,1.8,2.4,0.7,0.2,1.2,2.0
176,Cameron Payne,NYK,10,12.4,4.9,1.9,5.4,0.352,0.9,2.8,0.321,0.2,0.2,1.0,0.0,1.0,1.0,2.4,0.5,0.1,0.6,1.0
177,Daniel Gafford,DAL,10,28.2,13.0,5.2,7.9,0.658,0.0,0.0,0.0,2.6,3.4,0.765,3.8,5.7,9.5,2.3,0.3,3.1,1.4,3.2
178,Al Horford,BOS,10,31.6,11.4,4.1,8.9,0.461,2.3,5.5,0.418,0.9,1.0,0.9,1.6,6.4,8.0,2.3,0.9,1.0,0.8,1.3
179,Donovan Clingan,POR,10,24.0,7.4,3.0,5.8,0.517,0.1,0.7,0.143,1.3,2.6,0.5,3.3,6.0,9.3,2.3,0.5,1.8,1.2,3.3
