#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
169,Kyle Filipowski,UTA,5,23.8,16.0,6.2,11.6,0.534,1.4,4.2,0.333,2.2,3.2,0.688,2.8,4.8,7.6,1.8,1.0,0.4,1.0,2.8
170,Grant Williams,CHA,5,34.1,11.4,3.6,8.2,0.439,1.4,3.8,0.368,2.8,3.0,0.933,1.6,5.0,6.6,2.4,0.6,1.2,1.4,2.4
171,"Scotty Pippen, Jr.",MEM,5,23.5,11.0,3.6,7.0,0.514,1.4,2.8,0.5,2.4,2.8,0.857,1.0,1.8,2.8,3.4,2.6,0.6,1.8,2.2
172,Nikola Vucevic,CHI,5,29.8,15.4,6.2,14.4,0.431,1.4,3.8,0.368,1.6,1.8,0.889,2.4,8.0,10.4,1.8,0.0,0.4,3.0,2.0
173,Mouhamed Gueye,ATL,5,21.2,9.0,3.0,6.0,0.5,1.4,3.4,0.412,1.6,2.0,0.8,1.2,2.8,4.0,1.2,1.8,1.6,0.4,2.4
174,"Kelly Oubre, Jr.",PHL,5,32.1,18.0,6.8,14.2,0.479,1.4,3.8,0.368,3.0,4.6,0.652,1.2,2.2,3.4,2.2,1.6,0.6,1.6,3.0
175,Moses Moody,GOS,5,28.5,11.2,3.8,8.4,0.452,1.4,4.2,0.333,2.2,2.2,1.0,1.4,3.2,4.6,1.4,1.2,0.0,0.8,1.2
176,"Larry Nance, Jr.",ATL,5,19.7,9.2,3.8,6.8,0.559,1.4,3.2,0.438,0.2,0.6,0.333,1.0,3.6,4.6,1.8,0.4,0.2,0.6,2.0
177,Aaron Wiggins,OKC,5,24.5,11.6,4.8,11.4,0.421,1.4,4.6,0.304,0.6,0.8,0.75,0.8,3.2,4.0,1.8,1.0,0.2,0.6,0.4
178,Tyrese Maxey,PHL,5,35.7,16.8,5.8,18.4,0.315,1.4,6.4,0.219,3.8,4.0,0.95,0.4,1.4,1.8,5.8,0.8,0.6,1.4,1.6
179,Bennedict Mathurin,IND,5,25.5,14.0,4.4,11.4,0.386,1.4,3.4,0.412,3.8,4.2,0.905,1.0,3.2,4.2,2.6,0.6,0.2,2.2,1.8
180,Toumani Camara,POR,5,33.8,9.4,3.2,9.8,0.327,1.4,5.4,0.259,1.6,2.6,0.615,1.6,3.0,4.6,3.0,1.2,1.0,1.2,3.4
181,Dru Smith,MIA,5,25.6,8.8,2.8,5.2,0.538,1.4,2.6,0.538,1.8,2.4,0.75,0.4,1.2,1.6,2.0,2.6,0.2,1.6,3.2
182,Fred VanVleet,HOU,5,30.2,6.8,2.4,8.4,0.286,1.4,6.4,0.219,0.6,0.6,1.0,0.0,2.4,2.4,4.4,1.8,0.2,1.0,1.8
183,Tidjane Salaun,CHA,5,16.7,6.4,2.0,4.2,0.476,1.4,3.0,0.467,1.0,1.4,0.714,1.0,3.0,4.0,1.6,0.4,0.0,1.2,0.6
184,Cody Williams,UTA,5,22.8,7.8,2.8,6.0,0.467,1.4,3.4,0.412,0.8,0.8,1.0,1.0,2.8,3.8,0.6,0.6,0.6,0.8,1.4
185,"Vincent Williams, Jr.",MEM,5,23.1,9.6,3.8,8.8,0.432,1.4,5.4,0.259,0.6,0.6,1.0,0.6,2.8,3.4,2.2,0.8,0.2,1.4,1.8
186,Corey Kispert,WAS,5,24.0,9.8,3.2,8.4,0.381,1.4,5.2,0.269,2.0,2.6,0.769,0.4,2.2,2.6,1.8,0.0,0.4,0.4,1.0
187,Eric Gordon,PHL,5,19.3,6.0,2.2,5.0,0.44,1.4,3.0,0.467,0.2,0.4,0.5,0.4,1.0,1.4,2.4,1.0,0.2,1.0,0.6
188,Bones Hyland,LAC,5,11.1,7.4,2.4,5.2,0.462,1.4,3.8,0.368,1.2,1.2,1.0,0.2,1.4,1.6,2.0,1.2,0.0,1.4,1.8
189,Dorian Finney-Smith,LAL,5,34.8,7.2,2.8,7.6,0.368,1.4,5.0,0.28,0.2,0.4,0.5,2.2,2.4,4.6,0.6,0.8,0.0,1.0,1.4
190,James Huff,MEM,5,10.7,5.4,2.0,4.8,0.417,1.4,3.6,0.389,0.0,0.0,0.0,0.2,2.0,2.2,0.6,0.2,1.0,0.2,1.0
191,G.G. Jackson,MEM,5,17.4,6.6,2.6,6.6,0.394,1.4,3.6,0.389,0.0,0.0,0.0,0.6,2.2,2.8,1.0,0.6,0.2,0.8,1.2
192,Jaden Hardy,DAL,5,14.9,7.4,2.6,6.6,0.394,1.4,3.6,0.389,0.8,1.8,0.444,0.2,1.6,1.8,2.0,0.2,0.0,0.8,1.4
193,Amir Coffey,LAC,5,22.9,7.4,3.0,6.0,0.5,1.4,3.0,0.467,0.0,0.0,0.0,0.0,1.2,1.2,0.4,0.4,0.0,0.0,1.6
194,Peyton Watson,DEN,5,17.4,5.8,2.2,4.6,0.478,1.4,2.6,0.538,0.0,0.4,0.0,0.0,1.8,1.8,0.8,0.0,0.8,0.6,2.6
195,Joel Embiid,PHL,5,31.2,21.2,5.8,14.6,0.397,1.2,4.8,0.25,8.4,9.6,0.875,2.0,6.2,8.2,5.0,0.4,1.0,3.2,2.2
196,Dejounte Murray,NOP,5,30.8,20.8,6.8,16.0,0.425,1.2,4.6,0.261,6.0,7.0,0.857,0.6,5.8,6.4,6.4,1.0,0.2,2.6,1.6
197,Dyson Daniels,ATL,5,34.0,15.6,6.8,12.8,0.531,1.2,2.2,0.545,0.8,1.4,0.571,0.8,5.2,6.0,5.4,2.8,0.4,2.4,2.2
198,DeMar DeRozan,SAC,5,36.6,23.8,8.6,19.2,0.448,1.2,4.0,0.3,5.4,5.8,0.931,1.6,3.4,5.0,6.2,0.4,0.0,2.0,2.2
199,Tobias Harris,DET,5,32.3,15.4,5.8,11.6,0.5,1.2,3.0,0.4,2.6,3.0,0.867,1.0,7.0,8.0,2.0,1.0,0.4,1.2,2.0
200,Andrew Nembhard,IND,5,29.3,10.2,3.8,8.6,0.442,1.2,3.8,0.316,1.4,1.6,0.875,0.8,2.6,3.4,6.8,2.2,0.4,1.4,2.8
