#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
79,Jalen Green,HOU,5,32.6,15.8,5.2,14.4,0.361,2.4,7.2,0.333,3.0,3.6,0.833,0.2,5.2,5.4,5.0,1.2,0.2,2.6,0.6
80,Brandon Ingram,NOP,5,32.4,20.2,7.0,15.4,0.455,2.2,4.8,0.458,4.0,5.0,0.8,0.6,3.4,4.0,5.0,1.2,0.8,4.6,2.4
81,Kristaps Porzingis,BOS,5,31.0,17.8,6.6,13.6,0.485,2.2,5.6,0.393,2.4,3.6,0.667,1.2,4.4,5.6,1.4,1.2,1.4,2.2,3.0
82,Gary Payton II,GOS,5,20.9,13.6,5.8,9.4,0.617,1.0,2.8,0.357,1.0,1.2,0.833,1.6,2.8,4.4,1.4,1.2,0.4,0.6,2.8
83,Mike Conley,MIN,5,22.6,10.2,3.6,6.2,0.581,2.2,3.8,0.579,0.8,0.8,1.0,0.6,2.6,3.2,3.8,1.2,0.2,1.4,1.8
84,Jarred Vanderbilt,LAL,5,23.0,6.6,2.8,5.0,0.56,0.6,2.0,0.3,0.4,0.6,0.667,2.6,4.6,7.2,1.2,1.2,1.0,0.6,2.0
85,Spencer Dinwiddie,DAL,5,32.6,12.8,4.2,10.2,0.412,1.6,4.8,0.333,2.8,3.8,0.737,0.4,2.8,3.2,4.4,1.2,0.4,1.4,1.4
86,Stephon Castle,SAS,5,27.6,16.8,6.4,13.2,0.485,1.2,4.4,0.273,2.8,5.0,0.56,1.8,2.2,4.0,4.0,1.2,0.0,2.0,3.6
87,Nickeil Alexander-Walker,MIN,5,24.0,9.6,3.4,7.2,0.472,2.0,4.6,0.435,0.8,1.0,0.8,0.4,2.4,2.8,2.4,1.2,0.6,0.4,0.2
88,Jared Rhoden,TOR,5,29.1,13.4,4.4,10.2,0.431,1.6,5.2,0.308,3.0,3.6,0.833,1.8,3.4,5.2,1.2,1.2,0.4,1.2,2.4
89,Moses Moody,GOS,5,28.5,11.2,3.8,8.4,0.452,1.4,4.2,0.333,2.2,2.2,1.0,1.4,3.2,4.6,1.4,1.2,0.0,0.8,1.2
90,K.J. Simpson,CHA,5,29.4,11.6,4.6,11.2,0.411,1.2,4.2,0.286,1.2,1.4,0.857,1.6,3.6,5.2,4.0,1.2,0.0,2.4,1.8
91,Aaron Nesmith,IND,5,31.6,13.8,5.6,12.0,0.467,2.2,6.4,0.344,0.4,0.4,1.0,0.2,3.4,3.6,1.4,1.2,0.6,0.8,2.4
92,Alex Caruso,OKC,5,17.2,9.6,3.6,5.8,0.621,1.2,2.8,0.429,1.2,1.4,0.857,0.2,1.4,1.6,1.2,1.2,0.8,1.0,0.6
93,Toumani Camara,POR,5,33.8,9.4,3.2,9.8,0.327,1.4,5.4,0.259,1.6,2.6,0.615,1.6,3.0,4.6,3.0,1.2,1.0,1.2,3.4
94,Jalen Suggs,ORL,5,20.5,14.6,5.2,12.4,0.419,2.2,5.2,0.423,2.0,3.0,0.667,0.6,2.2,2.8,2.4,1.2,0.4,2.0,3.2
95,Bones Hyland,LAC,5,11.1,7.4,2.4,5.2,0.462,1.4,3.8,0.368,1.2,1.2,1.0,0.2,1.4,1.6,2.0,1.2,0.0,1.4,1.8
96,"B.J. Boston, Jr.",NOP,5,17.9,9.8,3.8,8.6,0.442,1.2,2.8,0.429,1.0,1.6,0.625,0.2,2.0,2.2,0.6,1.2,0.2,0.8,1.6
97,Reece Beekman,BRK,5,13.6,1.6,0.6,3.2,0.188,0.2,1.6,0.125,0.2,0.4,0.5,0.0,1.2,1.2,0.6,1.2,0.0,0.8,1.0
98,Shai Gilgeous-Alexander,OKC,5,36.1,38.2,13.2,24.2,0.545,3.0,7.8,0.385,8.8,9.0,0.978,1.2,3.4,4.6,6.8,1.0,1.2,3.0,2.8
99,Giannis Antetokounmpo,MIL,5,32.3,28.8,11.8,19.8,0.596,0.0,0.6,0.0,5.2,8.0,0.65,3.4,9.4,12.8,5.6,1.0,0.2,2.8,2.0
100,Jayson Tatum,BOS,5,39.4,34.0,12.2,25.2,0.484,4.0,11.8,0.339,5.6,6.4,0.875,1.8,9.0,10.8,6.8,1.0,0.8,4.0,3.2
101,Miles Bridges,CHA,5,36.6,32.2,11.2,22.0,0.509,3.4,8.6,0.395,6.4,7.4,0.865,1.0,8.0,9.0,4.4,1.0,1.4,1.8,1.6
102,Anthony Davis,DAL,5,28.9,26.4,10.2,18.0,0.567,0.4,1.6,0.25,5.6,6.8,0.824,3.8,8.6,12.4,3.0,1.0,1.8,1.8,1.4
103,James Harden,LAC,5,39.3,31.0,8.6,19.6,0.439,4.2,11.0,0.382,9.6,11.8,0.814,0.8,4.8,5.6,10.2,1.0,0.6,4.6,1.4
104,Mark Williams,CHA,5,28.9,17.2,7.2,10.2,0.706,0.0,0.0,0.0,2.8,3.8,0.737,2.4,9.0,11.4,2.0,1.0,1.8,1.8,1.8
105,Jonas Valanciunas,SAC,5,29.2,13.4,5.6,11.0,0.509,0.0,0.6,0.0,2.2,2.8,0.786,3.2,9.6,12.8,4.6,1.0,1.0,1.6,3.2
106,Jonathan Kuminga,GOS,5,28.8,23.8,7.8,14.2,0.549,1.6,3.2,0.5,6.6,9.4,0.702,2.2,5.0,7.2,3.4,1.0,0.4,1.8,2.0
107,Coby White,CHI,5,35.4,29.0,10.4,21.0,0.495,3.4,10.0,0.34,4.8,5.4,0.889,0.4,4.8,5.2,3.2,1.0,0.2,2.2,1.8
108,Onyeka Okongwu,ATL,5,30.8,12.8,5.2,9.6,0.542,0.8,1.8,0.444,1.6,1.8,0.889,5.0,5.6,10.6,2.0,1.0,1.2,0.8,3.0
109,Dejounte Murray,NOP,5,30.8,20.8,6.8,16.0,0.425,1.2,4.6,0.261,6.0,7.0,0.857,0.6,5.8,6.4,6.4,1.0,0.2,2.6,1.6
110,Donovan Mitchell,CLE,5,32.9,26.8,7.6,18.8,0.404,2.2,8.4,0.262,9.4,11.4,0.825,0.6,4.4,5.0,4.4,1.0,0.2,3.0,1.6
111,Caris LeVert,ATL,5,29.5,19.0,7.6,13.8,0.551,2.6,6.2,0.419,1.2,1.6,0.75,0.4,2.6,3.0,3.2,1.0,0.8,1.0,1.2
112,"Jaren Jackson, Jr.",MEM,5,25.5,22.0,8.2,14.4,0.569,2.0,4.2,0.476,3.6,5.0,0.72,0.6,3.4,4.0,1.6,1.0,1.4,1.2,3.2
