#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
24,John Collins,UTA,5,32.4,24.4,9.6,18.0,0.533,1.8,6.4,0.281,3.4,5.0,0.68,2.2,5.6,7.8,1.0,0.8,0.4,1.8,2.4
25,Damian Lillard,MIL,5,34.2,24.0,8.2,16.8,0.488,2.8,8.2,0.341,4.8,5.2,0.923,0.2,4.4,4.6,5.6,1.4,0.0,2.4,1.8
26,Devin Booker,PHX,5,40.0,24.0,8.4,17.4,0.483,2.2,6.6,0.333,5.0,6.4,0.781,0.8,4.4,5.2,6.2,0.8,0.0,3.4,3.4
27,Kawhi Leonard,LAC,5,38.0,24.0,9.4,20.0,0.47,2.0,6.8,0.294,3.2,4.4,0.727,1.8,4.8,6.6,2.8,1.2,0.6,2.0,2.0
28,Jonathan Kuminga,GOS,5,28.8,23.8,7.8,14.2,0.549,1.6,3.2,0.5,6.6,9.4,0.702,2.2,5.0,7.2,3.4,1.0,0.4,1.8,2.0
29,DeMar DeRozan,SAC,5,36.6,23.8,8.6,19.2,0.448,1.2,4.0,0.3,5.4,5.8,0.931,1.6,3.4,5.0,6.2,0.4,0.0,2.0,2.2
30,Anfernee Simons,POR,5,36.0,23.2,9.0,19.0,0.474,3.2,9.4,0.34,2.0,2.0,1.0,0.2,2.6,2.8,3.6,1.0,0.0,1.6,1.2
31,Jordan Poole,WAS,5,28.0,23.0,7.8,15.4,0.506,4.0,9.0,0.444,3.4,3.4,1.0,0.6,3.2,3.8,2.8,1.4,0.4,2.0,2.0
32,Kyrie Irving,DAL,5,31.6,23.0,8.2,19.2,0.427,2.0,7.0,0.286,4.6,4.6,1.0,1.6,3.8,5.4,3.4,1.4,1.2,1.8,1.6
33,Bam Adebayo,MIA,5,38.5,22.8,8.0,15.8,0.506,1.4,3.8,0.368,5.4,6.2,0.871,1.8,8.6,10.4,5.2,2.2,0.0,1.6,1.8
34,Anthony Edwards,MIN,5,34.4,22.8,7.6,15.6,0.487,3.6,8.8,0.409,4.0,5.4,0.741,0.4,5.2,5.6,4.4,0.8,0.2,2.0,1.4
35,Pascal Siakam,IND,5,32.1,22.8,8.8,16.6,0.53,1.6,5.2,0.308,3.6,4.4,0.818,1.4,4.8,6.2,3.4,0.8,0.2,2.0,2.0
36,Deni Avdija,POR,5,35.9,22.4,7.0,14.0,0.5,2.2,5.0,0.44,6.2,7.8,0.795,2.2,8.8,11.0,5.4,0.4,0.4,4.4,2.2
37,Tyrese Haliburton,IND,5,33.5,22.2,8.2,14.0,0.586,3.8,6.4,0.594,2.0,2.0,1.0,0.4,2.8,3.2,11.6,2.6,0.4,1.2,0.6
38,Josh Giddey,CHI,5,35.6,22.2,7.6,15.8,0.481,1.4,4.4,0.318,5.6,6.8,0.824,1.4,8.6,10.0,8.8,0.6,0.6,2.4,2.0
39,Tyler Herro,MIA,5,35.3,22.2,9.0,18.0,0.5,2.4,6.4,0.375,1.8,2.4,0.75,0.4,4.8,5.2,5.6,1.2,1.0,2.0,0.6
40,Immanuel Quickley,TOR,5,29.8,22.2,6.6,15.2,0.434,3.4,8.8,0.386,5.6,6.6,0.848,0.8,3.6,4.4,4.8,0.6,0.0,1.6,2.4
