#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
23,Alex Reese,PHL,5,15.9,4.2,1.6,4.0,0.4,0.4,2.6,0.154,0.6,1.0,0.6,1.0,3.2,4.2,0.2,1.2,1.6,0.8,1.8
24,Onyeka Okongwu,ATL,5,31.6,15.2,5.8,10.2,0.569,0.8,1.8,0.444,2.8,3.0,0.933,5.2,5.6,10.8,2.2,1.0,1.4,0.6,2.4
25,Evan Mobley,CLE,5,32.7,18.2,7.2,12.4,0.581,1.4,3.6,0.389,2.4,4.0,0.6,2.4,7.6,10.0,3.6,1.0,1.4,2.6,1.0
26,Mark Williams,CHA,5,27.7,15.2,6.0,8.6,0.698,0.0,0.0,0.0,3.2,4.2,0.762,2.4,8.6,11.0,2.0,1.0,1.4,1.8,1.6
27,Derrick White,BOS,5,34.1,16.0,5.4,13.8,0.391,3.0,9.8,0.306,2.2,2.6,0.846,0.8,4.4,5.2,6.4,1.0,1.4,1.6,2.0
28,Nicolas Claxton,BRK,5,30.6,11.0,5.2,8.0,0.65,0.0,0.2,0.0,0.6,1.2,0.5,2.2,5.6,7.8,4.4,0.6,1.4,0.8,3.4
29,Karlo Matkovic,NOP,5,23.3,10.6,4.4,7.2,0.611,0.6,1.6,0.375,1.2,1.8,0.667,2.2,4.6,6.8,1.4,0.6,1.4,0.8,3.2
30,Kristaps Porzingis,BOS,5,31.0,17.8,6.6,13.6,0.485,2.2,5.6,0.393,2.4,3.6,0.667,1.2,4.4,5.6,1.4,1.2,1.4,2.2,3.0
31,Naz Reid,MIN,5,29.9,12.8,5.0,11.2,0.446,2.6,6.6,0.394,0.2,0.8,0.25,0.6,6.0,6.6,2.8,0.4,1.4,1.8,3.2
32,Jaxson Hayes,LAL,5,26.4,9.6,3.6,4.6,0.783,0.0,0.0,0.0,2.4,3.2,0.75,2.0,4.0,6.0,1.0,0.2,1.4,1.4,3.4
33,Isaiah Stewart II,DET,5,19.7,6.6,2.4,4.4,0.545,0.0,0.6,0.0,1.8,2.4,0.75,1.4,3.2,4.6,2.4,0.4,1.4,0.8,2.0
34,Quinten Post,GOS,5,20.5,8.0,3.0,7.8,0.385,1.8,4.6,0.391,0.2,0.8,0.25,1.0,3.6,4.6,1.0,0.6,1.4,1.2,3.0
35,Taylor Hendricks,UTA,3,24.8,4.7,1.3,6.0,0.222,1.0,4.0,0.25,1.0,1.3,0.75,1.7,3.3,5.0,0.7,1.7,1.3,0.7,2.7
36,Shai Gilgeous-Alexander,OKC,5,36.1,38.2,13.2,24.2,0.545,3.0,7.8,0.385,8.8,9.0,0.978,1.2,3.4,4.6,6.8,1.0,1.2,3.0,2.8
37,Ivica Zubac,LAC,5,37.9,20.2,9.2,13.8,0.667,0.0,0.0,0.0,1.8,3.2,0.563,3.0,8.8,11.8,2.6,0.2,1.2,1.2,2.4
38,Tyler Herro,MIA,5,37.7,22.8,9.2,19.0,0.484,2.4,7.0,0.343,2.0,2.6,0.769,0.6,5.0,5.6,5.6,1.4,1.2,2.2,0.6
39,Al Horford,BOS,5,33.8,14.4,5.0,10.2,0.49,2.2,5.8,0.379,2.2,2.4,0.917,2.2,6.8,9.0,3.8,1.4,1.2,1.4,1.4
40,Kyrie Irving,DAL,5,31.6,23.0,8.2,19.2,0.427,2.0,7.0,0.286,4.6,4.6,1.0,1.6,3.8,5.4,3.4,1.4,1.2,1.8,1.6
