#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
85,Jordan Hawkins,NOP,49,23.3,10.9,3.8,9.9,0.379,2.0,5.8,0.338,1.4,1.7,0.831,0.5,2.2,2.7,1.1,0.6,0.4,1.0,0.8
86,Bradley Beal,PHX,47,32.5,17.6,6.7,13.3,0.506,2.0,4.9,0.398,2.2,2.7,0.813,0.7,2.7,3.4,3.7,1.0,0.5,1.9,2.6
87,Georges Niang,ATL,65,21.7,9.6,3.5,7.6,0.464,2.0,4.9,0.398,0.6,0.7,0.792,0.7,3.2,3.8,1.5,0.4,0.2,0.9,2.5
88,D'Angelo Russell,BRK,51,25.6,12.8,4.4,11.0,0.401,1.9,6.1,0.32,2.1,2.5,0.848,0.3,2.5,2.8,5.1,1.0,0.4,1.9,2.0
89,Sam Merrill,CLE,57,19.4,7.3,2.4,5.9,0.409,1.9,5.1,0.377,0.5,0.5,0.966,0.5,1.6,2.1,1.4,0.7,0.2,0.5,1.8
90,Bogdan Bogdanovic,LAC,39,25.6,11.0,3.9,9.7,0.404,1.9,5.9,0.325,1.2,1.4,0.87,0.5,2.5,3.0,2.4,0.7,0.2,1.5,2.4
91,Keegan Murray,SAC,63,34.6,12.3,4.7,10.8,0.44,1.9,5.8,0.332,0.9,1.0,0.831,2.0,4.7,6.7,1.4,0.8,0.9,0.8,2.5
92,Lonzo Ball,CHI,35,22.2,7.6,2.5,6.9,0.366,1.9,5.6,0.344,0.6,0.8,0.815,0.7,2.7,3.4,3.3,1.3,0.5,1.2,1.6
93,Brice Sensabaugh,UTA,56,18.7,10.0,3.6,8.0,0.453,1.9,4.8,0.398,0.8,0.9,0.92,0.6,2.1,2.6,1.4,0.6,0.1,1.4,1.4
94,De'Aaron Fox,SAS,62,36.1,23.5,8.7,18.8,0.463,1.9,6.1,0.31,4.2,5.1,0.827,0.9,3.9,4.8,6.3,1.5,0.4,2.8,2.6
95,Quentin Grimes,PHL,62,25.2,12.4,4.5,9.4,0.478,1.9,4.9,0.391,1.6,2.1,0.76,0.8,3.4,4.1,2.5,0.9,0.3,1.5,1.8
96,Nikola Jokic,DEN,61,36.5,29.0,11.0,19.2,0.576,1.9,4.5,0.422,5.0,6.2,0.803,2.9,10.0,12.8,10.3,1.8,0.7,3.3,2.3
97,"Jaren Jackson, Jr.",MEM,60,29.3,22.6,8.1,16.4,0.496,1.9,5.2,0.369,4.4,5.7,0.773,1.3,4.5,5.8,2.1,1.3,1.7,2.1,3.4
98,Taurean Prince,MIL,64,26.6,8.1,2.9,6.5,0.448,1.9,4.2,0.446,0.4,0.5,0.839,0.5,3.3,3.8,2.0,0.8,0.1,1.0,2.1
99,R.J. Barrett,TOR,52,32.9,21.5,8.0,17.0,0.472,1.9,5.3,0.359,3.5,5.4,0.649,1.0,5.4,6.5,5.7,0.8,0.3,3.0,2.5
100,Paolo Banchero,ORL,34,34.0,25.1,8.7,19.3,0.45,1.9,5.8,0.323,5.9,8.3,0.709,1.1,6.1,7.1,4.7,0.8,0.7,2.9,2.2
101,Jaylen Brown,BOS,55,35.4,23.0,8.6,18.6,0.46,1.9,5.9,0.316,4.1,5.3,0.759,1.5,4.6,6.1,4.7,1.3,0.3,2.7,2.6
102,Tre Mann,CHA,13,24.5,14.1,5.4,12.4,0.435,1.8,4.6,0.4,1.5,1.6,0.905,0.9,2.0,2.9,3.0,0.5,0.3,1.9,1.8
103,Mike Conley,MIN,58,24.7,8.3,2.6,6.7,0.393,1.8,4.5,0.408,1.2,1.3,0.92,0.5,2.1,2.6,4.5,1.2,0.2,1.1,1.6
104,Dennis Schroder,DET,61,27.7,13.4,4.7,11.3,0.416,1.8,5.2,0.351,2.1,2.5,0.838,0.3,2.3,2.6,5.2,1.0,0.2,2.0,2.5
105,Kawhi Leonard,LAC,24,29.9,18.9,7.5,16.0,0.465,1.8,5.1,0.358,2.1,2.9,0.739,1.0,4.2,5.2,2.8,1.4,0.5,2.1,1.5
106,Al Horford,BOS,52,27.4,8.5,3.1,7.3,0.419,1.8,5.0,0.363,0.5,0.6,0.9,1.2,4.7,5.9,2.0,0.6,0.9,0.8,1.4
107,Jaylen Wells,MEM,67,25.9,10.8,3.8,8.8,0.435,1.8,5.0,0.362,1.3,1.7,0.811,1.1,2.2,3.3,1.7,0.6,0.1,1.0,1.8
108,Jalen Williams,OKC,61,32.6,21.3,8.1,16.9,0.478,1.8,5.0,0.362,3.3,4.2,0.791,0.9,4.6,5.5,5.3,1.7,0.7,2.2,2.4
109,Garrison Mathews,ATL,44,17.6,7.6,2.2,5.5,0.397,1.8,4.7,0.39,1.4,1.8,0.818,0.3,1.5,1.8,1.3,0.6,0.3,0.7,1.8
110,Brook Lopez,MIL,64,31.7,12.7,4.7,9.6,0.492,1.8,4.9,0.371,1.4,1.7,0.844,1.3,3.7,5.0,1.8,0.7,1.9,1.0,2.2
111,Dorian Finney-Smith,LAL,48,28.2,8.2,3.0,6.8,0.438,1.8,4.7,0.388,0.5,0.7,0.667,1.4,2.6,4.0,1.3,0.9,0.3,0.9,2.3
112,Santi Aldama,MEM,53,25.0,12.7,5.0,10.2,0.487,1.8,4.8,0.375,0.9,1.3,0.7,1.6,5.1,6.7,2.8,0.8,0.5,1.0,1.1
113,Nickeil Alexander-Walker,MIN,68,25.2,9.3,3.3,7.5,0.443,1.8,4.5,0.399,0.9,1.2,0.759,0.6,2.5,3.1,2.5,0.6,0.4,1.2,1.7
114,Collin Sexton,UTA,52,28.0,18.0,6.4,13.6,0.469,1.8,4.5,0.397,3.5,3.9,0.878,1.1,1.8,2.9,4.2,0.7,0.1,2.6,2.2
115,Jrue Holiday,BOS,51,30.4,11.0,4.1,9.2,0.445,1.8,5.1,0.346,1.1,1.2,0.9,1.2,3.1,4.3,3.6,1.0,0.5,1.3,1.6
116,Moses Moody,GOS,58,21.2,9.9,3.3,7.4,0.447,1.7,4.5,0.39,1.5,1.9,0.782,0.7,1.8,2.5,1.2,0.6,0.4,0.7,1.5
117,Chris Paul,SAS,65,28.3,8.8,2.9,7.0,0.418,1.7,4.6,0.377,1.2,1.3,0.939,0.4,3.2,3.6,7.8,1.3,0.2,1.5,1.8
118,Harrison Barnes,SAS,65,27.4,11.8,4.1,8.0,0.505,1.7,4.0,0.43,1.9,2.4,0.774,1.4,2.5,3.9,1.7,0.4,0.2,0.6,0.9
119,Miles McBride,NYK,55,24.3,9.2,3.3,8.1,0.411,1.7,4.7,0.371,0.9,1.1,0.817,0.7,1.7,2.5,2.7,1.0,0.3,0.7,1.5
120,Nikola Vucevic,CHI,58,31.8,18.8,7.7,14.4,0.534,1.7,4.5,0.386,1.7,2.1,0.811,2.3,7.9,10.2,3.3,0.8,0.6,1.7,2.4
121,Pascal Siakam,IND,65,32.8,20.9,8.0,15.3,0.525,1.7,4.3,0.399,3.1,4.1,0.746,1.7,5.5,7.2,3.3,0.9,0.5,1.4,2.5
122,Quinten Post,GOS,28,16.3,8.4,3.1,6.8,0.455,1.7,4.1,0.417,0.5,0.7,0.789,1.0,2.9,3.9,1.5,0.4,0.5,0.8,2.1
123,Caris LeVert,ATL,52,24.9,11.9,4.3,9.0,0.473,1.7,4.3,0.394,1.6,2.3,0.718,0.6,2.5,3.1,3.4,0.9,0.5,1.2,1.5
