#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
84,Payton Pritchard,BOS,65,28.0,14.1,4.9,10.5,0.471,3.3,7.8,0.417,0.9,1.1,0.857,1.3,2.4,3.7,3.4,0.8,0.2,0.9,1.5
85,Amen Thompson,HOU,60,32.5,14.0,5.5,10.0,0.553,0.3,1.3,0.256,2.6,3.8,0.693,2.8,5.6,8.3,3.6,1.3,1.3,2.1,2.3
86,P.J. Washington,DAL,47,32.2,14.0,5.0,11.6,0.432,1.6,4.2,0.374,2.4,3.2,0.74,1.6,6.5,8.1,2.3,1.2,1.1,1.9,2.4
87,Tobias Harris,DET,63,32.2,13.9,5.3,11.3,0.473,1.3,3.7,0.341,2.0,2.3,0.868,1.0,5.1,6.1,2.2,1.0,0.8,1.1,1.9
88,Dillon Brooks,HOU,62,32.2,13.9,5.0,12.0,0.42,2.5,6.2,0.393,1.4,1.7,0.81,1.1,2.7,3.9,1.7,0.8,0.2,1.0,3.4
89,Josh Giddey,CHI,60,29.7,13.8,5.1,11.0,0.462,1.5,4.0,0.376,2.2,2.8,0.789,1.7,6.0,7.7,6.7,1.1,0.6,2.8,1.7
90,Bobby Portis,MIL,46,25.2,13.7,5.6,12.1,0.463,1.3,3.6,0.364,1.2,1.5,0.821,1.8,6.5,8.3,2.2,0.7,0.5,1.2,1.9
91,Jarrett Allen,CLE,65,28.6,13.6,5.5,7.9,0.7,0.0,0.0,0.0,2.5,3.3,0.755,2.7,7.6,10.3,1.9,1.0,1.0,1.2,1.5
92,Stephon Castle,SAS,63,25.5,13.4,4.9,11.4,0.425,1.1,4.0,0.283,2.6,3.7,0.713,1.0,2.2,3.2,3.5,0.9,0.2,1.9,2.0
93,Dennis Schroder,DET,61,27.7,13.4,4.7,11.3,0.416,1.8,5.2,0.351,2.1,2.5,0.838,0.3,2.3,2.6,5.2,1.0,0.2,2.0,2.5
94,Rui Hachimura,LAL,50,32.1,13.3,5.1,10.0,0.506,1.7,4.1,0.41,1.5,2.0,0.765,1.5,3.8,5.2,1.5,0.8,0.5,0.9,1.8
95,Scoot Henderson,POR,59,26.8,13.0,4.4,10.3,0.432,1.6,4.3,0.369,2.5,3.3,0.772,0.7,2.3,3.0,5.1,1.1,0.2,2.6,2.8
96,Russell Westbrook,DEN,59,27.8,12.9,4.9,10.6,0.465,1.2,3.7,0.336,1.9,2.9,0.64,1.5,3.5,5.0,6.0,1.4,0.5,3.0,2.5
97,Moe Wagner,ORL,30,18.8,12.9,4.7,8.3,0.562,0.9,2.5,0.36,2.6,3.7,0.718,1.3,3.6,4.9,1.4,0.8,0.4,1.6,1.8
98,D'Angelo Russell,BRK,51,25.6,12.8,4.4,11.0,0.401,1.9,6.1,0.32,2.1,2.5,0.848,0.3,2.5,2.8,5.1,1.0,0.4,1.9,2.0
99,Santi Aldama,MEM,53,25.0,12.7,5.0,10.2,0.487,1.8,4.8,0.375,0.9,1.3,0.7,1.6,5.1,6.7,2.8,0.8,0.5,1.0,1.1
100,Brook Lopez,MIL,64,31.7,12.7,4.7,9.6,0.492,1.8,4.9,0.371,1.4,1.7,0.844,1.3,3.7,5.0,1.8,0.7,1.9,1.0,2.2
101,Jaden McDaniels,MIN,67,32.5,12.6,5.0,10.4,0.479,1.3,3.9,0.335,1.3,1.6,0.833,1.7,4.3,5.9,2.0,1.4,0.8,1.1,2.9
102,Onyeka Okongwu,ATL,59,26.5,12.6,5.0,8.8,0.571,0.5,1.6,0.299,2.0,2.8,0.732,3.1,5.4,8.4,2.2,0.8,0.9,1.1,2.5
103,Keldon Johnson,SAS,61,23.6,12.5,4.7,9.7,0.487,1.2,3.5,0.329,1.9,2.5,0.761,1.4,3.2,4.5,1.5,0.6,0.2,1.0,1.5
104,Quentin Grimes,PHL,62,25.2,12.4,4.5,9.4,0.478,1.9,4.9,0.391,1.6,2.1,0.76,0.8,3.4,4.1,2.5,0.9,0.3,1.5,1.8
105,Naji Marshall,DAL,54,26.2,12.4,4.8,9.7,0.497,0.9,3.3,0.279,1.8,2.1,0.848,1.1,3.5,4.6,2.8,1.1,0.1,1.6,1.5
106,Bilal Coulibaly,WAS,59,33.0,12.3,4.5,10.6,0.421,1.1,3.8,0.281,2.3,3.1,0.746,1.5,3.4,5.0,3.4,1.3,0.7,2.1,2.4
107,Ayo Dosunmu,CHI,46,30.3,12.3,4.8,9.8,0.492,1.3,4.1,0.328,1.3,1.7,0.785,0.6,2.9,3.5,4.5,0.9,0.4,1.5,2.3
108,Daniel Gafford,DAL,51,21.9,12.3,5.0,7.1,0.699,0.0,0.0,0.0,2.4,3.4,0.699,2.7,4.1,6.9,1.4,0.4,1.9,1.2,2.7
109,Keegan Murray,SAC,62,34.6,12.2,4.7,10.7,0.44,1.9,5.7,0.334,0.9,1.0,0.831,2.0,4.7,6.7,1.4,0.8,0.9,0.8,2.5
110,Ty Jerome,CLE,60,19.6,11.9,4.3,8.5,0.504,1.5,3.5,0.438,1.9,2.1,0.902,0.7,1.9,2.6,3.3,1.2,0.0,1.3,1.5
111,Alex Sarr,WAS,50,26.9,11.9,4.5,11.4,0.391,1.5,4.8,0.314,1.5,2.3,0.629,1.8,4.9,6.7,2.3,0.6,1.6,1.5,2.3
112,Caris LeVert,ATL,51,25.0,11.9,4.3,9.0,0.474,1.7,4.4,0.392,1.6,2.3,0.713,0.6,2.5,3.1,3.4,0.9,0.5,1.2,1.5
113,Harrison Barnes,SAS,64,27.5,11.8,4.1,8.0,0.506,1.7,4.0,0.432,1.9,2.5,0.778,1.4,2.6,3.9,1.7,0.4,0.2,0.6,0.9
114,Corey Kispert,WAS,60,26.4,11.7,4.2,9.3,0.452,2.0,5.5,0.366,1.3,1.5,0.852,0.6,2.4,3.0,1.7,0.4,0.2,1.1,1.6
115,Zaccharie Risacher,ATL,59,24.4,11.6,4.4,9.9,0.438,1.5,4.3,0.346,1.4,2.0,0.709,1.2,2.4,3.6,1.2,0.8,0.5,1.2,1.9
116,Donte DiVincenzo,MIN,48,26.5,11.6,3.9,9.5,0.413,2.8,7.1,0.394,0.9,1.2,0.786,0.5,3.3,3.8,3.7,1.2,0.2,1.6,1.7
117,Buddy Hield,GOS,66,23.3,11.6,4.2,10.0,0.418,2.6,6.9,0.371,0.6,0.8,0.784,0.6,2.7,3.3,1.8,0.9,0.3,1.2,1.7
118,Walker Kessler,UTA,50,30.4,11.5,5.0,6.9,0.725,0.0,0.1,0.333,1.5,2.8,0.536,4.7,7.6,12.3,1.6,0.6,2.5,1.5,2.2
119,Terry Rozier,MIA,57,27.0,11.5,4.2,10.5,0.401,1.5,5.0,0.305,1.6,1.8,0.857,0.7,3.1,3.8,2.7,0.6,0.2,1.3,1.3
